|คำ|จำนวนครั้ง|
|---|---:|
|บ้าน|265|
|หนอง|240|
|ญ่|149|
|ท่า|149|
|เมือง|129|
|บาง|124|
|รี|100|
|ศ|100|
|วัง|85|
|น้ำ|83|
|ยาง|83|
|นา|81|
|แก้ว|79|
|ช้าง|74|
|ห้วย|72|
|คลอง|70|
|ราย|67|
|ลาง|64|
|ไ|63|
|แดง|62|
|น้อย|62|
|ป่า|60|
|เหนือ|54|
|ม่วง|53|
|ต้|52|
|โคก|52|
|ม่|52|
|งาม|52|
|ส|51|
|โนน|48|
|โพ|47|
|หิน|46|
|ลาด|46|
|ผ่|43|
|ขาม|43|
|บ่อ|43|
|เกาะ|43|
|ปาก|42|
|ดอน|42|
|สะ|42|
|ต|41|
|ทุ่ง|41|
|วาง|39|
|หนองบัว|39|
|เวียง|37|
|ห|34|
|สาม|33|
|กุด|33|
|ป่ง|33|
|วาย|32|
|เชียง|32|
|ทร์|31|
